datetime,open,high,low,close,volume,dollar_volume,spread_avg,n_trades,buy_vol,sell_vol,ofi,ret,amihud,stock
2024-01-15 09:31:00,184.7469,184.8423,184.6525,184.7531,27507,5081849.08,0.011558333333333334,60,12584.0,14923.0,-0.08502980950996074,-3.247471978373717e-05,6.390335330429336e-06,AAPL
2024-01-15 09:32:00,184.7729,184.8874,184.6625,184.8874,18668,3448813.44,0.011435,60,10724.0,7944.0,0.14890995768386095,0.0007269160842227063,0.00021077280483892404,AAPL
2024-01-15 09:33:00,184.9027,185.0469,184.7861,184.9695,25836,4777393.83,0.011328333333333333,60,16016.0,9820.0,0.23981112358245926,0.0004440540566852391,9.294901604453844e-05,AAPL
2024-01-15 09:34:00,184.9505,185.0359,184.864,184.9431,25935,4795811.92,0.011236666666666667,60,12134.0,13801.0,-0.06427359654534238,-0.0001427262332439616,2.9760598482009617e-05,AAPL
2024-01-15 09:35:00,184.9236,185.1416,184.9104,184.9971,19521,3612309.64,0.011161666666666665,60,10966.0,8555.0,0.12350169040057371,0.00029198169599187196,8.082964205238384e-05,AAPL
2024-01-15 09:36:00,185.0092,185.2232,185.0092,185.1754,22597,4183177.88,0.0111,60,13200.0,9397.0,0.1682892291353217,0.0009637988919826146,0.00023039873448523477,AAPL
2024-01-15 09:37:00,185.2226,185.3433,184.9904,185.168,23416,4336176.26,0.011001666666666665,60,13395.0,10021.0,0.14408335824401075,-3.9962111597957595e-05,9.215979496598648e-06,AAPL
2024-01-15 09:38:00,185.1651,185.1651,184.7984,184.808,31160,5764918.08,0.010956666666666667,60,13827.0,17333.0,-0.11251243541606495,-0.0019441804199430424,0.00033724337268823925,AAPL
2024-01-15 09:39:00,184.8266,184.8745,184.7473,184.8068,23122,4272938.64,0.0109,60,10748.0,12374.0,-0.07031959520823422,-6.493225401360547e-06,1.5196158740450317e-06,AAPL
2024-01-15 09:40:00,184.8235,185.036,184.8032,184.9364,22118,4090113.16,0.010828333333333334,60,13844.0,8274.0,0.251819702518197,0.0007012728968847082,0.0001714556218220016,AAPL
2024-01-15 09:41:00,184.9239,184.9239,184.771,184.8266,24504,4529383.39,0.0108,60,12191.0,12313.0,-0.004978575800856968,-0.0005937176240047304,0.00013108133526623745,AAPL
2024-01-15 09:42:00,184.8332,184.8603,184.6247,184.8176,22454,4148266.74,0.010715,60,8875.0,13579.0,-0.20948563794255176,-4.869428967479994e-05,1.1738466354604592e-05,AAPL
2024-01-15 09:43:00,184.8214,185.0094,184.7929,184.9302,24937,4610316.41,0.0107,60,13399.0,11538.0,0.0746250701740316,0.0006092493355611683,0.00013214913686144958,AAPL
2024-01-15 09:44:00,184.9292,185.344,184.9197,185.3269,25752,4765742.72,0.010618333333333334,60,15955.0,9797.0,0.23911777268667728,0.0021451336774631624,0.0004501152913605059,AAPL
2024-01-15 09:45:00,185.3346,185.4933,185.3264,185.4455,24448,4532974.98,0.0106,60,9868.0,14580.0,-0.1927277189251094,0.0006399502716551986,0.00014117666059639973,AAPL
2024-01-15 09:46:00,185.4588,185.5852,185.3355,185.5641,19914,3693186.86,0.010536666666666666,60,11247.0,8667.0,0.12955059000753202,0.0006395409972201893,0.00017316778699047778,AAPL
2024-01-15 09:47:00,185.5748,185.7496,185.5625,185.646,23337,4332660.72,0.0105,60,11635.0,11702.0,-0.0028708544005484615,0.0004413569219476887,0.00010186740883994597,AAPL
2024-01-15 09:48:00,185.639,185.9835,185.6253,185.9835,25321,4704034.88,0.010471666666666666,60,13553.0,11768.0,0.07049206223836979,0.0018179761481529333,0.0003864716547952588,AAPL
2024-01-15 09:49:00,185.9775,186.0562,185.863,185.9306,19078,3547755.36,0.0104,60,9294.0,9784.0,-0.0256826877718958,-0.00028443383418419455,8.017289934626878e-05,AAPL
2024-01-15 09:50:00,185.9331,186.0731,185.8664,185.9697,24481,4552091.35,0.0104,60,9416.0,15065.0,-0.23074095253655746,0.00021029351811896468,4.61971216058732e-05,AAPL
2024-01-15 09:51:00,185.9808,186.0868,185.9156,186.0186,19100,3552750.13,0.010323333333333332,60,10768.0,8332.0,0.12753258991675828,0.0002629460605678702,7.401197669585349e-05,AAPL
2024-01-15 09:52:00,186.0197,186.0741,185.8017,185.8572,24866,4623647.15,0.0103,60,11316.0,13550.0,-0.08983793782925162,-0.0008676551699667856,0.00018765600832888502,AAPL
2024-01-15 09:53:00,185.8703,186.1502,185.8608,186.1502,21185,3940905.4,0.010291666666666668,60,10377.0,10808.0,-0.020343623147361465,0.0015764791463555028,0.0004000296841317749,AAPL
2024-01-15 09:54:00,186.163,186.4606,186.1491,186.4606,23257,4332433.37,0.010200000000000002,60,11577.0,11680.0,-0.0044285837131309656,0.0016674706769048697,0.00038488085808831746,AAPL
2024-01-15 09:55:00,186.4755,186.5674,186.3924,186.4608,23904,4457381.59,0.010200000000000002,60,13392.0,10512.0,0.12047688768040159,1.072612659136496e-06,2.406373865626618e-07,AAPL
2024-01-15 09:56:00,186.4604,186.4604,186.2362,186.3177,18208,3392762.0,0.010176666666666667,60,9683.0,8525.0,0.06359492558624856,-0.0007674535344694977,0.0002262031737585678,AAPL
2024-01-15 09:57:00,186.3198,186.5849,186.2928,186.5768,24782,4620568.62,0.0101,60,14593.0,10189.0,0.17770245732962112,0.0013906354576080915,0.00030096630284400547,AAPL
2024-01-15 09:58:00,186.5843,186.7358,186.5511,186.7141,22330,4167685.25,0.0101,60,9721.0,12609.0,-0.12932694460615288,0.0007358899927536466,0.00017657043342895012,AAPL
2024-01-15 09:59:00,186.7122,186.8658,186.6787,186.6989,19853,3707581.55,0.01008,60,12657.0,7196.0,0.275057922836708,-8.14078851034683e-05,2.195713938750637e-05,AAPL
2024-01-15 10:00:00,186.7337,186.7337,186.5253,186.6104,24279,4530263.72,0.01,60,12453.0,11826.0,0.02582372322899506,-0.000474025288847546,0.0001046352524045098,AAPL
